Source,Destination,Path,PathDelay,PathCost
7,15,7->8->12->17->15,19,19
7,15,7->14->18->15,21,21
7,16,7->8->12->17->16,14,14
7,16,7->14->18->23->16,19,19
7,17,7->8->12->17,11,11
7,17,7->14->17,14,14
7,18,7->14->18,14,14
7,18,7->8->12->17->22->18,16,16
7,19,7->13->19,12,12
7,19,7->14->19,17,17
7,20,7->13->19->20,14,14
7,20,7->14->18->21->20,20,20
7,21,7->14->18->21,15,15
7,21,7->8->12->17->22->21,19,19
7,22,7->8->12->17->22,14,14
7,22,7->14->18->22,16,16
7,23,7->14->18->23,15,15
7,23,7->8->12->17->23,16,16
8,0,8->0,4,4
8,0,8->12->9->0,10,10
8,1,8->0->1,6,6
8,1,8->2->1,11,11
8,2,8->2,5,5
8,2,8->0->1->2,12,12
8,3,8->2->3,12,12
8,3,8->7->6->5->4->3,17,17
8,4,8->7->6->5->4,14,14
8,4,8->2->3->4,15,15
8,5,8->7->6->5,13,13
8,5,8->2->3->4->5,16,16
8,6,8->7->6,10,10
8,6,8->2->3->4->5->6,19,19
8,7,8->7,6,6
8,7,8->12->13->7,13,13
8,9,8->12->9,5,5
8,9,8->9,9,9
8,10,8->12->9->10,12,12
8,10,8->11->10,16,16
8,11,8->12->11,8,8
8,11,8->11,10,10
8,12,8->12,2,2
8,12,8->14->12,12,12
8,13,8->12->13,6,6
8,13,8->14->13,8,8
8,14,8->14,6,6
8,14,8->12->13->14,8,8
8,15,8->12->17->15,13,13
8,15,8->14->18->15,19,19
8,16,8->12->17->16,8,8
8,16,8->14->18->23->16,17,17
8,17,8->12->17,5,5
8,17,8->14->17,12,12
8,18,8->12->17->18,10,10
8,18,8->14->18,12,12
8,19,8->12->13->19,11,11
8,19,8->14->19,15,15
8,20,8->12->13->19->20,13,13
8,20,8->14->18->21->20,18,18
8,21,8->12->17->18->21,11,11
8,21,8->14->18->22->21,19,19
8,22,8->12->17->22,8,8
8,22,8->14->18->22,14,14
8,23,8->12->17->23,10,10
8,23,8->14->18->23,13,13
9,0,9->0,5,5
9,0,9->12->8->0,9,9
9,1,9->0->1,7,7
9,1,9->12->8->2->1,16,16
9,2,9->12->8->2,10,10
9,2,9->0->1->2,13,13
9,3,9->12->8->2->3,17,17
9,3,9->8->7->6->5->4->3,26,26
9,4,9->12->8->7->6->5->4,19,19
9,4,9->0->1->2->3->4,23,23
9,5,9->12->8->7->6->5,18,18
9,5,9->0->1->2->3->4->5,24,24
9,6,9->12->8->7->6,15,15
9,6,9->0->1->2->3->4->5->6,27,27
9,7,9->12->8->7,11,11
9,7,9->8->12->13->7,22,22
9,8,9->12->8,5,5
9,8,9->8,9,9
9,10,9->10,7,7
9,10,9->12->11->10,15,15
9,11,9->12->11,9,9
9,11,9->10->11,13,13
9,12,9->12,3,3
9,12,9->8->12,11,11
9,13,9->12->13,7,7
9,13,9->8->14->13,17,17
9,14,9->12->14,9,9
9,14,9->8->14,15,15
9,15,9->10->15,13,13
9,15,9->12->17->15,14,14
9,16,9->12->17->16,9,9
9,16,9->10->15->16,22,22
9,17,9->12->17,6,6
9,17,9->10->11->17,20,20
9,18,9->12->17->18,11,11
9,18,9->10->15->18,20,20
9,19,9->12->13->19,12,12
9,19,9->8->12->17->22->18->19,24,24
9,20,9->12->13->19->20,14,14
9,20,9->8->12->17->22->18->21->20,25,25
9,21,9->12->17->18->21,12,12
9,21,9->10->15->18->22->21,27,27
9,22,9->12->17->22,9,9
9,22,9->10->15->18->22,22,22
9,23,9->12->17->23,11,11
9,23,9->10->15->18->23,21,21
10,0,10->9->0,12,12
10,0,10->11->12->8->0,18,18
10,1,10->9->0->1,14,14
10,1,10->11->12->8->2->1,25,25
10,2,10->9->12->8->2,17,17
10,2,10->11->12->9->0->1->2,28,28
10,3,10->9->12->8->2->3,24,24
10,3,10->11->8->7->6->5->4->3,33,33
10,4,10->9->12->8->7->6->5->4,26,26
10,4,10->11->8->2->3->4,31,31
10,5,10->9->12->8->7->6->5,25,25
10,5,10->11->8->2->3->4->5,32,32
10,6,10->9->12->8->7->6,22,22
10,6,10->11->8->2->3->4->5->6,35,35
10,7,10->9->12->8->7,18,18
10,7,10->11->12->13->7,23,23
10,8,10->9->12->8,12,12
10,8,10->11->8,16,16
10,9,10->9,7,7
10,9,10->11->12->9,15,15
10,11,10->11,6,6
10,11,10->9->12->11,16,16
10,12,10->9->12,10,10
10,12,10->11->12,12,12
10,13,10->9->12->13,14,14
10,13,10->11->12->14->13,20,20
10,14,10->9->12->14,16,16
10,14,10->11->12->13->14,18,18
10,15,10->15,6,6
10,15,10->9->12->17->15,21,21
10,16,10->15->16,15,15
10,16,10->9->12->17->16,16,16
10,17,10->11->17,13,13
10,17,10->9->12->17,13,13
10,18,10->15->18,13,13
10,18,10->9->12->17->22->18,18,18
10,19,10->15->18->19,18,18
10,19,10->9->12->13->19,19,19
10,20,10->15->18->20,19,19
10,20,10->9->12->13->19->20,21,21
10,21,10->15->18->21,14,14
10,21,10->9->12->17->22->21,21,21
